Symbol,Group,Period
H,1,1
He,18,1
Li,1,2
Be,2,2
B,13,2
C,14,2
N,15,2
O,16,2
F,17,2
Ne,18,2
Na,1,3
Mg,2,3
Al,13,3
Si,14,3
P,15,3
S,16,3
Cl,17,3
Ar,18,3
K,1,4
Ca,2,4
Sc,3,4
Ti,4,4
V,5,4
Cr,6,4
Mn,7,4
Fe,8,4
Co,9,4
Ni,10,4
Cu,11,4
Zn,12,4
Ga,13,4
Ge,14,4
As,15,4
Se,16,4
Br,17,4
Kr,18,4
Rb,1,5
Sr,2,5
Y,3,5
Zr,4,5
Nb,5,5
Mo,6,5
Tc,7,5
Ru,8,5
Rh,9,5
Pd,10,5
Ag,11,5
Cd,12,5
In,13,5
Sn,14,5
Sb,15,5
Te,16,5
I,17,5
Xe,18,5
Cs,1,6
Ba,2,6
La,,6
Ce,,6
Pr,,6
Nd,,6
Pm,,6
Sm,,6
Eu,,6
Gd,,6
Tb,,6
Dy,,6
Ho,,6
Er,,6
Tm,,6
Yb,,6
Lu,3,6
Hf,4,6
Ta,5,6
W,6,6
Re,7,6
Os,8,6
Ir,9,6
Pt,10,6
Au,11,6
Hg,12,6
Tl,13,6
Pb,14,6
Bi,15,6
Po,16,6
At,17,6
Rn,18,6
Fr,1,7
Ra,2,7
Ac,,7
Th,,7
Pa,,7
U,,7
Np,,7
Pu,,7
Am,,7
Cm,,7
Bk,,7
Cf,,7
Es,,7
Fm,,7
Md,,7
No,,7
Lr,3,7
Rf,4,7
Db,5,7
Sg,6,7
Bh,7,7
Hs,8,7
Mt,9,7
Ds,10,7
Rg,11,7
Cn,12,7
Nh,13,7
Fl,14,7
Mc,15,7
Lv,16,7
Ts,17,7
Og,18,7
